ticker,fiscal_year,query_used,url,status,text_path,char_count,error,fetched_at_utc
UPS (UPS),2021,UPS (UPS) FY21 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2022/02/01/united-parcel-service-ups-q4-2021-earnings-call-tr/,ok,data\raw\earnings\motley_fool_transcripts\UPS (UPS)\FY2021.txt,57727,,2026-04-13T01:09:40.670418+00:00
UPS (UPS),2022,UPS (UPS) FY22 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2023/01/31/united-parcel-service-ups-q4-2022-earnings-call-tr/,ok,data\raw\earnings\motley_fool_transcripts\UPS (UPS)\FY2022.txt,60787,,2026-04-13T01:10:21.215339+00:00
UPS (UPS),2023,UPS (UPS) FY23 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2024/01/30/united-parcel-service-ups-q4-2023-earnings-call-tr/,ok,data\raw\earnings\motley_fool_transcripts\UPS (UPS)\FY2023.txt,55792,,2026-04-13T01:11:04.298304+00:00
UPS (UPS),2024,UPS (UPS) FY24 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2026/01/26/ups-ups-q4-2024-earnings-call-transcript/,ok,data\raw\earnings\motley_fool_transcripts\UPS (UPS)\FY2024.txt,74186,,2026-04-13T01:11:42.488653+00:00
UPS (UPS),2025,UPS (UPS) FY25 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2026/01/27/ups-ups-q4-2025-earnings-call-transcript/,ok,data\raw\earnings\motley_fool_transcripts\UPS (UPS)\FY2025.txt,60237,,2026-04-13T01:12:16.165310+00:00
EXXONMOBIL (XONE),2020,EXXONMOBIL (XONE) FY20 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2021/02/02/exxonmobil-xom-q4-2020-earnings-call-transcript/,ok,data\raw\earnings\motley_fool_transcripts\EXXONMOBIL (XONE)\FY2020.txt,81110,,2026-04-13T01:12:45.412140+00:00
EXXONMOBIL (XONE),2021,EXXONMOBIL (XONE) FY21 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2022/02/01/exxonmobil-xom-q4-2021-earnings-call-transcript/,ok,data\raw\earnings\motley_fool_transcripts\EXXONMOBIL (XONE)\FY2021.txt,60931,,2026-04-13T01:13:28.866245+00:00
EXXONMOBIL (XONE),2022,EXXONMOBIL (XONE) FY22 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2023/01/31/exxon-mobil-xom-q4-2022-earnings-call-transcript/,ok,data\raw\earnings\motley_fool_transcripts\EXXONMOBIL (XONE)\FY2022.txt,61630,,2026-04-13T01:14:08.853915+00:00
EXXONMOBIL (XONE),2023,EXXONMOBIL (XONE) FY23 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2024/02/02/exxonmobil-xom-q4-2023-earnings-call-transcript/,ok,data\raw\earnings\motley_fool_transcripts\EXXONMOBIL (XONE)\FY2023.txt,57770,,2026-04-13T01:14:49.749501+00:00
EXXONMOBIL (XONE),2024,EXXONMOBIL (XONE) FY24 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2025/01/31/exxonmobil-xom-q4-2024-earnings-call-transcript/,ok,data\raw\earnings\motley_fool_transcripts\EXXONMOBIL (XONE)\FY2024.txt,59490,,2026-04-13T01:15:28.883769+00:00
EXXONMOBIL (XONE),2025,EXXONMOBIL (XONE) FY25 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2026/01/30/exxon-mobil-xom-q4-2025-earnings-call-transcript/,ok,data\raw\earnings\motley_fool_transcripts\EXXONMOBIL (XONE)\FY2025.txt,56210,,2026-04-13T01:16:09.082176+00:00
CONSTELLATION ENERGY (CEG),2020,CONSTELLATION ENERGY (CEG) FY20 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2020/04/03/constellation-brands-inc-stz-q4-2020-earnings-call.aspx,ok,data\raw\earnings\motley_fool_transcripts\CONSTELLATION ENERGY (CEG)\FY2020.txt,63407,,2026-04-13T01:16:45.643380+00:00
CONSTELLATION ENERGY (CEG),2021,CONSTELLATION ENERGY (CEG) FY21 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2021/04/18/constellation-brands-stz-q4-2021-earnings-call-tra/,ok,data\raw\earnings\motley_fool_transcripts\CONSTELLATION ENERGY (CEG)\FY2021.txt,75330,,2026-04-13T01:17:17.896907+00:00
CONSTELLATION ENERGY (CEG),2022,CONSTELLATION ENERGY (CEG) FY22 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2022/08/04/constellation-energy-corporation-ceg-q2-2022-earni/,ok,data\raw\earnings\motley_fool_transcripts\CONSTELLATION ENERGY (CEG)\FY2022.txt,49314,,2026-04-13T01:17:55.091704+00:00
CONSTELLATION ENERGY (CEG),2023,CONSTELLATION ENERGY (CEG) FY23 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2022/08/04/constellation-energy-corporation-ceg-q2-2022-earni/,ok,data\raw\earnings\motley_fool_transcripts\CONSTELLATION ENERGY (CEG)\FY2023.txt,49314,,2026-04-13T01:18:29.565106+00:00
CONSTELLATION ENERGY (CEG),2024,CONSTELLATION ENERGY (CEG) FY24 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2024/11/04/constellation-energy-ceg-q3-2024-earnings-call-tra/,ok,data\raw\earnings\motley_fool_transcripts\CONSTELLATION ENERGY (CEG)\FY2024.txt,49426,,2026-04-13T01:19:03.021523+00:00
CONSTELLATION ENERGY (CEG),2025,CONSTELLATION ENERGY (CEG) FY25 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2024/11/04/constellation-energy-ceg-q3-2024-earnings-call-tra/,ok,data\raw\earnings\motley_fool_transcripts\CONSTELLATION ENERGY (CEG)\FY2025.txt,49426,,2026-04-13T01:19:41.617800+00:00
